"","mzmed","rtmed","FC","logFC","p.val.adj.DISEASE.CTR","threshold","FC.1","logFC.1","p.val.adj.TREATMENT.DISEASE","threshold.1","FC.combi","CTR","DISEASE","TREATMENT"
"M591T394",591.359560370116,394.212,-10.8682467098701,-3.44204731519793,0.999999999953486,"FALSE",113.42337958641,6.82557423866903,1.15577965475432e-05,"TRUE",1232.71327201235,64261.6215297154,5912.78641764323,670648.218261719
"M360T406",359.714619616654,405.634,-11.0121921801987,-3.4610297874671,0.999999999953486,"FALSE",110.90070971935,6.79312478796425,4.69244124692119e-06,"TRUE",1221.25992834991,69750.0096086775,6333.8896077474,702432.852783203
"M379T485_1",378.762150607854,484.7815,-12.2390004883802,-3.61341383842966,0.999999999953486,"FALSE",98.3136212196906,6.61931940875441,3.12716732450691e-05,"TRUE",1203.26045812222,11694.6985996791,955.52725982666,93941.3450876872
"M702T406",702.397530573297,405.612,-10.6776646996464,-3.41652424615991,0.999999999953486,"FALSE",112.678409303512,6.8160672920211,6.7261519645645e-05,"TRUE",1203.14227343242,4017.89298793248,376.289488474528,42399.7009989421
"M318T400",318.197139215626,399.633,-10.526145274666,-3.39590530605944,0.999999999953486,"FALSE",113.972123702911,6.83253719036229,6.22639455079867e-06,"TRUE",1199.68713135904,85519.9675292969,8124.52852376302,925969.769938151
"M472T444",472.316027508925,444.1825,-12.4370611033729,-3.63657370957602,0.999999999953486,"FALSE",96.1939004505376,6.58787351207657,3.15869872681332e-05,"TRUE",1196.3694176751,200046.364746094,16084.6974283854,1547249.78320312
"M349T469_1",349.11373931495,468.5375,-10.6398913824269,-3.41141151801651,0.999999999953486,"FALSE",112.401499626563,6.81251747345966,4.71087984210485e-05,"TRUE",1195.93974724853,5950.06783403669,559.222610473633,62857.4600423177
"M419T430_1",418.737355764846,430.13,-6.50324552737425,-2.70115989316744,0.999999999953486,"FALSE",179.528911923958,7.48807238886757,0.00187617779177742,"TRUE",1167.52059350384,6321.37292916434,972.033564249674,174508.128143311
"M358T406_1",357.738622960359,405.6465,-10.9040014560615,-3.44678575479284,0.999999999953486,"FALSE",106.993977309392,6.7413857793879,3.29247737944674e-06,"TRUE",1166.66248437142,139585.61000279,12801.3198242188,1369664.12280273
"M903T437",902.535808343041,437.374,-6.28358691827883,-2.65158834127198,0.999999999953486,"FALSE",181.065459122182,7.50036754718417,0.030720836598724,"TRUE",1137.74055029229,2047.30753326416,325.818288167318,58994.4379374186
"M667T540",666.884495563635,539.606,-10.9512966797727,-3.45302979601272,0.999999999953486,"FALSE",103.235167454348,6.68979070384322,0.000883192829690913,"TRUE",1130.55894657858,2870.2927747454,262.096157073975,27057.5406646729
